Time (hrs),Bacillus safensis,Bacillus safensis (std),Microbacterium arborescens,Microbacterium arborescens (std),Empty,Empty (std)
64.2520277778,0.3027999997,0.0236000009,0.9749000072,0.5110999942,0.1231999993,0.0507999994
64.5020277778,0.3034000099,0.0241999999,0.9771000147,0.5091000199,0.1230000034,0.0518000014
64.7520277778,0.3034000099,0.0241999999,0.9743999839,0.5098000169,0.1235999987,0.0531000011
65.0020277778,0.3037,0.0240000002,0.9775000215,0.5091999769,0.1230000034,0.0516000018
65.2520555556,0.3045000136,0.0245999992,0.9735999703,0.5062000155,0.123300001,0.0535000004
65.5020555556,0.3039000034,0.0238000005,0.9767000079,0.5070999861,0.123800002,0.053199999
65.7520555556,0.3039999902,0.0242999997,0.9772999883,0.5070999861,0.123800002,0.0551000014
66.0020833333,0.3039999902,0.0242999997,0.9789999723,0.5070999861,0.1235999987,0.0549000017
66.2520833333,0.3037999868,0.0240000002,0.983799994,0.5078999996,0.1226999983,0.0533000007
66.5020833333,0.3039999902,0.0241,0.9835000038,0.5052000284,0.1230000034,0.0533999987
66.7520833333,0.3039000034,0.0240000002,0.9822999835,0.5080000162,0.123300001,0.0548
67.0021111111,0.3037,0.0240000002,0.9871000051,0.5080999732,0.123999998,0.0568999983
67.2521111111,0.3045000136,0.0244999994,0.9872000217,0.5095000267,0.1230000034,0.0549999997
67.5021111111,0.3043000102,0.0239000004,0.9901000261,0.5112000108,0.123800002,0.057599999
67.7521111111,0.3045000136,0.0243999995,0.9893000126,0.5091999769,0.1237000003,0.0566999987
68.0021388889,0.3041000068,0.0237000007,0.9907000065,0.5103999972,0.1226999983,0.0546999983
68.2521388889,0.3043000102,0.0241,0.9889000058,0.507799983,0.1230000034,0.055399999
68.5021666667,0.3048000038,0.0243999995,0.9911999702,0.5095000267,0.124499999,0.0599000007
68.7521666667,0.3046000004,0.0241999999,0.9909999967,0.5109000206,0.124499999,0.0595999993
69.0021666667,0.3048999906,0.0242999997,0.9926000237,0.5105999708,0.124499999,0.0595000014
69.2521666667,0.3046999872,0.0247000009,0.9930999875,0.5085999966,0.1254000068,0.0621000007
69.5021944444,0.304399997,0.0241999999,0.9926000237,0.5074999928,0.1246000007,0.0593999997
69.7521944444,0.3045000136,0.0240000002,0.9925000072,0.5088000298,0.1251000017,0.0612000003
70.0021944444,0.3046999872,0.0241999999,0.9930999875,0.5080999732,0.1254999936,0.061900001
70.2521944444,0.3048000038,0.0243999995,0.9932000041,0.5091000199,0.1257999986,0.0627999976
70.5022222222,0.3039000034,0.0238000005,0.992200017,0.5062000155,0.1246000007,0.0590999983
70.7522222222,0.3037999868,0.0240000002,0.9904000163,0.5083000064,0.1251000017,0.060800001
71.0022222222,0.3039999902,0.0242999997,0.9902999997,0.5073000193,0.1247999966,0.0601000004
71.2522222222,0.3037,0.0237000007,0.9901000261,0.5067999959,0.1243000031,0.0588000007
71.50225,0.3034999967,0.0239000004,0.9893000126,0.507799983,0.1243999973,0.0593999997
