Well,Mean,StDev,0;4,1;4,2;4,3;4,4;4,4;3,3;3,2;3,1;3,0;3,0;2,1;2,2;2,3;2,4;2,4;1,3;1,2;1,1;1,0;1,0;0,1;0,2;0,3;0,4;0
B6,0.6481999755,0.2032999992,1.1998000145,0.7207000256,0.6649000049,0.7828000188,1.2790000439,0.7026000023,0.5243999958,0.575699985,0.5995000005,0.5900999904,0.5037999749,0.6967999935,0.5099999905,0.4566999972,0.6319000125,0.6423000097,0.4832000136,0.5181000233,0.6725000143,0.4515999854,0.5209000111,0.5608999729,0.6326000094,0.4839000106,0.8003000021
C6,0.9448999763,0.1550000012,1.1229000092,0.8963000178,0.823300004,0.9412000179,1.2820999622,1.0599999428,0.8361999989,0.8906000257,0.8212000132,0.9017999768,0.8511000276,0.8727999926,0.9312999845,0.9650999904,0.9014999866,0.8927000165,0.9204000235,0.6139000058,0.6683999896,0.8995000124,0.986199975,1.0640000105,1.2137999535,1.157400012,1.1101000309
D6,0.8995000124,0.2496999949,1.0283999443,1.1476000547,1.1042000055,1.3924000263,1.4929000139,0.9269000292,1.3023999929,1.2026000023,0.8198000193,0.7220000029,0.6967999935,0.7508999705,0.8995000124,0.9656000137,0.6895999908,0.6657000184,0.6284000278,0.730700016,0.7319999933,0.6887999773,0.7849000096,0.6523000002,0.6897000074,0.7652999759,1.0067000389
E6,0.4805999994,0.2917000055,0.9847999811,0.5102999806,0.4088000059,0.7969999909,1.4534000158,0.763899982,0.4059999883,0.3186999857,0.472299993,0.5738999844,0.3546000123,0.4146000147,0.3332999945,0.3774999976,0.4445999861,0.7771000266,0.2232999951,0.2034000009,0.2011000067,0.3427999914,0.1955000013,0.2755999863,0.240899995,0.3106000125,0.630400002
F6,1.369500041,0.1008000001,1.3308999538,1.3423999548,1.3215999603,1.2423000336,1.388299942,1.2821999788,1.3873000145,1.0951999426,1.295699954,1.4033999443,1.4421000481,1.3680000305,1.4092999697,1.4766999483,1.5929000378,1.4694999456,1.4973000288,1.4312000275,1.3612999916,1.4569000006,1.4355000257,1.2947000265,1.2611000538,1.3003000021,1.3504999876
G6,2.361399889,0.2356999964,2.0662999153,2.5518000126,2.4460000992,2.0724000931,2.1031000614,2.3706998825,2.6050999165,2.7160000801,2.5144000053,2.3949000835,2.4179000854,2.4010999203,2.6013000011,2.6770999432,2.6593000889,2.2753999233,2.5664000511,2.5016999245,2.4442999363,2.3294000626,1.9187999964,2.1280999184,2.1782999039,2.1770000458,1.9178999662
H6,1.674200058,0.0888999999,1.6031999588,1.5831999779,1.6938999891,1.7072000504,1.7178000212,1.6934000254,1.6395000219,1.7292000055,1.6547000408,1.5343999863,1.5257999897,1.7649999857,1.6934000254,1.6877000332,1.7086000443,1.7806999683,1.7115000486,1.6796000004,1.6722999811,1.5022000074,1.5081000328,1.6863000393,1.7395000458,1.8353999853,1.8020000458
A7,0.809400022,0.2226999998,1.2698999643,1.0110000372,0.7829999924,0.961499989,1.3411999941,0.8260999918,0.6661999822,0.8792999983,0.9470000267,1.0178999901,0.7031000257,0.6182000041,0.5332000256,0.7019000053,0.618900001,0.742200017,0.6284999847,0.6725000143,0.4907999933,0.7480999827,0.5917999744,0.6158000231,0.8252999783,0.8885999918,1.1528999805
B7,0.646600008,0.5,1.6150000095,1.4186999798,0.7450000048,0.7483000159,1.817800045,0.6938999891,0.1332000047,0.8748999834,0.9531000257,1.1857000589,0.6999999881,0.1261000037,0.1647000015,0.123999998,0.1307000071,0.5852000117,0.1259000003,0.1656000018,0.1557999998,1.0491000414,0.6776000261,0.1377000064,0.8729000092,0.3231000006,0.641200006
C7,1.3157000542,0.1137999967,1.4628000259,1.2812999487,1.3661999702,1.4335999489,1.4457000494,1.5520999432,1.4078999758,1.3198000193,1.0987999439,1.2489999533,1.3624999523,1.3315000534,1.4211000204,1.1828000546,1.2711999416,1.1193000078,1.2687000036,1.3054000139,1.095600009,1.3643000126,1.3781000376,1.2613999844,1.2755000591,1.2673000097,1.3700000048
D7,0.9057999849,0.180399999,0.9136999846,0.8033000231,0.9585999846,1.3781000376,0.8763999939,0.9258999825,1.1360000372,0.8313999772,0.6941999793,0.6676999927,0.7286000252,0.841899991,0.8374000192,0.6970000267,0.9480999708,1.1511000395,0.7628999949,0.7973999977,0.9125000238,0.9480999708,1.233199954,0.8102999926,0.7012000084,0.988499999,1.1019999981
E7,1.4234999418,0.1617999971,1.4011000395,1.027099967,1.2892999649,1.2213000059,1.5173000097,1.6211999655,1.5256999731,1.4869999886,1.2250000238,1.0102000237,1.3145999908,1.4687000513,1.6240999699,1.5748000145,1.5600999594,1.5253000259,1.4049999714,1.4735000134,1.530099988,1.4839999676,1.537700057,1.4551000595,1.4433000088,1.4122999907,1.4531999826
